name,coast,estu_latitude,estu_longintude,estu_dep,estu_perim,land_area,land_latitude,land_longitude,population,tide_ht,estu_salinity,ocean_salinity_mean,air_temp_mean,frost_days_per_yr,ocean_sst_mean,ocean_diss_inorg_p,ocean_no3,tide_flow,mean_precip,mean_temp,soc_density
Florida Bay,GULF,25.03994,-80.73177,0.62,614000,904895430.6,25.18731,-80.72754,3421,0.3,29,36.2,24.4,0,26.5,0.07,0.81,1.00E+09,1251.831801,24.59471919,0.087
South Ten Thousand Islands,GULF,25.31133,-81.05702,0.63,597000,3069215778,25.44025,-80.79107,235792,0.62,21,36.1,24.6,0,26.4,0.08,0.78,3.00E+08,1355.907147,24.32059605,0
North Ten Thousand Islands,GULF,25.72428,-81.37764,0.73,906000,4921105891,25.98252,-81.27368,9268,0.81,27,36,24.1,0,26.3,0.09,0.79,6.00E+08,1416.239789,23.87367088,0.084
Rookery Bay,GULF,25.99875,-81.75601,0.5,148000,330458851.8,26.04292,-81.67771,14858,0.52,29,36,23.9,0,26.1,0.08,0.67,4.00E+07,1432.519416,23.51,0.086
Charlotte Harbor,GULF,26.754031,-82.103018,1.659380372,507261.119,11692844560,27.167615,-81.772154,597644,0.612393123,20.80168307,35.9,23.2,1,25.65,0.1,0.545,7.00E+08,1320.27569,22.8691993,0.073
Sarasota Bay,GULF,27.32018,-82.56734,2.19,255000,653019913.1,27.3174,-82.50057,229454,0.67,29,35.7,22.8,2,24.9,0.09,0.42,2.00E+08,1418.537644,22.80235302,0.07
Tampa Bay,GULF,27.74087,-82.50537,3,943000,5703088417,27.88384,-82.32189,1308800,0.72,25,35.7,22.6,3,24.9,0.1,0.42,1.00E+09,1320.395444,22.66986609,0.039
Suwannee River,GULF,29.28666,-83.15062,1.17,345000,25988838205,30.59383,-82.95604,417564,0.76,17,35.2,21.8,13,24,0.12,0.59,3.00E+08,1366.115893,20.32077626,0.07
Apalachee Bay,GULF,29.93453,-84.01934,1.92,517000,14288134415,30.59122,-84.15836,352196,0.75,29,35.3,20.4,22,23.7,0.11,0.74,3.00E+09,1433.743317,19.72487845,0.072
Apalachicola Bay,GULF,29.75675,-84.77106,1.81,402000,52214609559,32.2096,-84.49969,2738086,0.58,19,35.3,20.8,16,23.7,0.13,0.87,7.00E+08,1500.193169,19.79281253,0.063
St.Andrew Bay,GULF,30.16163,-85.70077,2.83,402000,2696586947,30.2574,-85.48276,91594,0.44,20,35.2,20.4,22,23.3,0.16,1.23,1.00E+08,1554.962701,19.77015039,0.036
